"url","page_type","indexability","http_status","canonical_url","title_tag","meta_description","h1","major_headings","approximate_content_depth","target_keyword","structured_data","internal_links","seo_problems","recommended_action","priority"
"https://luckyinteriorsfurniture.com/","homepage","Indexable; initial HTML available but React content requires JS","200","https://luckyinteriorsfurniture.com/","Lucky Interiors Furniture | Furniture Store in Mumbai","Browse sofas, beds, dining sets, wardrobes, storage furniture, and home essentials from Lucky Interiors Furniture in Mumbai. Enquire on WhatsApp or call the store.","Living room sets, bedroom furniture, dining and storage options.","Shop By Categories; A small shortlist to start with; Store experience; Need help choosing; Visit the store","Thin commercial homepage; mostly component/card copy","furniture store in Mumbai","Client-rendered FurnitureStore with unverified fields","Header categories; 16 category cards; featured products; contact","Weak generic H1; thin local/commercial copy; unconditional client-only schema; business claims require verification","Prerender; replace title/H1/copy; add verified entity, category, compact-home and trust sections","P1"
"https://luckyinteriorsfurniture.com/contact","contact","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/contact","Contact Us | Lucky Interiors Furniture","Contact Lucky Interiors Furniture for furniture sales, product queries, quotes, availability, delivery details, and store visit support.","Tell us what you are looking for.","Store contact; Sales and quotes; Product queries; Visit the store","Moderate conversion page","Lucky Interiors contact","Client-rendered ContactPage + FurnitureStore + Breadcrumb","Homepage breadcrumb; WhatsApp; phone; email; map","Route identity depends on JS; address/hours/custom/delivery claims require verification","Prerender; reconcile NAP/GBP; retain only verified claims; add response expectations and priority category links","P1"
"https://luckyinteriorsfurniture.com/collections/sofas","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/sofas","Sofas | Lucky Interiors Furniture","Browse sofa styles for living rooms, lounges, and family seating. Browse sofas and enquire with Lucky Interiors Furniture in Mumbai.","Sofas","Available options; 61 products found; More Categories; Store experience; Visit the store","61 product cards; one-sentence category copy; thin buying guidance","sofas in Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P1"
"https://luckyinteriorsfurniture.com/collections/beds","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/beds","Beds | Lucky Interiors Furniture","Explore bed options, storage beds, and bedroom furniture pairings. Browse beds and enquire with Lucky Interiors Furniture in Mumbai.","Beds","Available options; 8 products found; More Categories; Store experience; Visit the store","8 product cards; one-sentence category copy; thin buying guidance","beds in Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P1"
"https://luckyinteriorsfurniture.com/collections/bedroom-sets","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/bedroom-sets","Bedroom Sets | Lucky Interiors Furniture","Complete bedroom sets with beds, wardrobes, dressing units, and storage options. Browse bedroom sets and enquire with Lucky Interiors Furniture in Mumbai.","Bedroom Sets","Available options; 41 products found; More Categories; Store experience; Visit the store","41 product cards; one-sentence category copy; thin buying guidance","bedroom furniture sets Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P2"
"https://luckyinteriorsfurniture.com/collections/dining-sets","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/dining-sets","Dining Sets | Lucky Interiors Furniture","Dining tables and chairs for compact homes and family spaces. Browse dining sets and enquire with Lucky Interiors Furniture in Mumbai.","Dining Sets","Available options; 62 products found; More Categories; Store experience; Visit the store","62 product cards; one-sentence category copy; thin buying guidance","dining tables in Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P1"
"https://luckyinteriorsfurniture.com/collections/study-tables","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/study-tables","Study Tables | Lucky Interiors Furniture","Study desks and work tables for students and home offices. Browse study tables and enquire with Lucky Interiors Furniture in Mumbai.","Study Tables","Available options; 4 products found; More Categories; Store experience; Visit the store","4 product cards; one-sentence category copy; thin buying guidance","study table Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P1 hold"
"https://luckyinteriorsfurniture.com/collections/centre-tables","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/centre-tables","Centre Tables | Lucky Interiors Furniture","Centre tables and accent tables for everyday living room use. Browse centre tables and enquire with Lucky Interiors Furniture in Mumbai.","Centre Tables","Available options; 100 products found; More Categories; Store experience; Visit the store","100 product cards; one-sentence category copy; thin buying guidance","centre table Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P1"
"https://luckyinteriorsfurniture.com/collections/recliners","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/recliners","Recliners | Lucky Interiors Furniture","Comfort seating and recliner-inspired lounge furniture options. Browse recliners and enquire with Lucky Interiors Furniture in Mumbai.","Recliners","Available options; 16 products found; More Categories; Store experience; Visit the store","16 product cards; one-sentence category copy; thin buying guidance","recliner chair Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P2"
"https://luckyinteriorsfurniture.com/collections/wardrobes","category","Indexable after JS; raw HTML canonical points to homepage","200","https://luckyinteriorsfurniture.com/collections/wardrobes","Wardrobes | Lucky Interiors Furniture","Wardrobes, sliding storage, mirror options, and bedroom organization. Browse wardrobes and enquire with Lucky Interiors Furniture in Mumbai.","Wardrobes","Available options; 59 products found; More Categories; Store experience; Visit the store","59 product cards; one-sentence category copy; thin buying guidance","wardrobes in Mumbai","Client-rendered CollectionPage + ItemList (12) + Breadcrumb + global FurnitureStore","Header/menu where present; product cards; first six other categories; WhatsApp; map","Raw HTML is homepage shell; generic title/meta; thin copy; internal starter-product wording; first-six related-link bias","Prerender and add unique Mumbai-aware intro, buying guidance, FAQs, related links and accurate filters","P1"
